Fecha,Tasa
2022-02-07,3783317
2022-02-08,3553731
2022-02-09,3553731
2022-02-10,3536206
2022-02-11,3536206
2022-02-14,3536206
2022-02-15,3547222
2022-02-16,3547222
2022-02-17,3597974
2022-02-18,3597974
2022-02-21,3597974
2022-02-22,4008024
2022-02-23,4008024
2022-02-24,4097486
2022-02-25,4097486
2022-03-02,4087173
2022-03-03,4159465
2022-03-04,4159465
2022-03-07,4159465
2022-03-08,4132526
2022-03-09,4132526
2022-03-10,4248564
2022-03-11,4248564
2022-03-14,4248564
2022-03-15,4245709
2022-03-16,4245709
2022-03-17,4098790
2022-03-18,4098790
2022-03-21,4098790
2022-03-22,3918953
2022-03-23,4140337
2022-03-25,4140337
2022-03-28,4140337
2022-03-29,4161928
2022-03-30,4161928
2022-03-31,4188066
2022-04-01,4188066
2022-04-04,4188066
2022-04-05,4390579
2022-04-06,4390579
2022-04-07,4379399
2022-04-08,4379399
2022-04-11,4379399
2022-04-12,4423630
2022-04-13,4583751
2022-04-18,4583751
2022-04-19,4732760
2022-04-20,4732760
2022-04-21,4611242
2022-04-22,4611242
2022-04-25,4611242
2022-04-26,4720662
2022-04-27,4720662
2022-04-28,4744409
2022-04-29,4744409
2022-05-02,4744409
2022-05-03,4813294
2022-05-04,4813294
2022-05-05,4925451
2022-05-06,4925451
2022-05-09,4925451
2022-05-10,5025648
2022-05-11,5025648
2022-05-12,5065397
2022-05-13,5065397
2022-05-16,5065397
2022-05-17,5060664
2022-05-19,5011208
2022-05-20,5011208
2022-05-23,5011208
2022-05-24,5059551
2022-05-26,5035208
2022-05-27,5035208
2022-05-30,5035208
2022-05-31,4945039
2022-06-01,4945039
2022-06-02,5094368
2022-06-03,5094368
2022-06-06,5094368
2022-06-07,5271012
2022-06-08,5271012
2022-06-09,5324656
2022-06-10,5324656
2022-06-13,5324656
2022-06-14,5451531
2022-06-15,5451531
2022-06-16,5316678
2022-06-21,5545655
2022-06-22,5545655
2022-06-23,5641077
2022-06-24,5641077
2022-06-27,5641077
2022-06-28,5637893
2022-06-29,5637893
2022-06-30,5549252
2022-07-01,5549252
2022-07-04,5549252
2022-07-05,5361190
2022-07-06,5361190
2022-07-07,5860357
2022-07-08,5860357
2022-07-11,5860357
2022-07-12,6203568
2022-07-13,6160278
2022-07-14,6172043
2022-07-15,6172043
2022-07-18,6172043
2022-07-19,5981854
2022-07-20,5982092
2022-07-21,5864374
2022-07-22,5864374
2022-07-25,5864374
2022-07-26,5820837
2022-07-27,5810294
2022-07-28,5829330
2022-07-29,5829330
2022-08-01,5829330
2022-08-02,6022478
2022-08-03,6017534
2022-08-04,6013803
2022-08-05,6013803
2022-08-08,6013803
2022-08-09,5891454
2022-08-10,5909354
2022-08-11,6095970
2022-08-12,6095970
2022-08-16,6042227
2022-08-17,6064702
2022-08-18,6066028
2022-08-19,6066028
2022-08-22,6066028
2022-08-23,6109176
2022-08-24,5972906
2022-08-25,6070311
2022-08-26,6070311
2022-08-29,6070311
2022-08-30,6066721
2022-08-31,6073622
2022-09-01,5929317
2022-09-05,5929317
2022-09-06,5767313
2022-09-07,5747338
2022-09-08,6141232
2022-09-09,6141232
2022-09-12,6141232
2022-09-13,6392562
2022-09-14,6454387
2022-09-15,6482612
2022-09-16,6482612
2022-09-19,6482612
2022-09-20,6805504
2022-09-21,6840559
2022-09-22,6948226
2022-09-23,6948226
2022-09-26,6948226
2022-09-27,7020437
2022-09-28,7047007
2022-09-29,7036739
2022-09-30,7036739
2022-10-03,7036739
2022-10-04,7195431
2022-10-05,7140686
2022-10-06,7237003
2022-10-11,7240520
2022-10-12,7245950
2022-10-13,7395628
2022-10-14,7395628
2022-10-17,7395628
2022-10-18,7369635
2022-10-19,7360215
2022-10-20,7236948
2022-10-21,7236948
2022-10-24,7236948
2022-10-25,7258503
2022-10-26,7271463
2022-10-27,7089418
2022-10-28,7089418
2022-10-31,7089418
2022-11-01,7221823
2022-11-02,7181693
2022-11-03,7217909
2022-11-04,7217909
2022-11-07,7217909
2022-11-08,7349651
2022-11-09,7339001
2022-11-10,7572554
2022-11-11,7572554
2022-11-14,7572554
2022-11-15,7541083
2022-11-16,7534138
2022-11-17,7538055
2022-11-18,7538055
2022-11-22,7548628
2022-11-23,7543928
2022-11-24,7631759
2022-11-25,7631759
2022-11-28,7631759
2022-11-29,7594883
2022-11-30,7583713
2022-12-01,7754161
2022-12-02,7754161
2022-12-05,7754161
2022-12-06,7754388
2022-12-07,7917833
2022-12-12,7917833
2022-12-13,7974607
2022-12-14,7981991
2022-12-15,7894131
2022-12-16,7894131
2022-12-19,7894131
2022-12-20,8031758
2022-12-21,8032905
2022-12-22,8098413
2022-12-23,8098413
2022-12-26,8098413
2022-12-27,8103013
2022-12-28,8089801
2022-12-29,8002932
2022-12-30,8002932
2023-01-02,8002932
2023-01-03,8246886
2023-01-04,8209097
2023-01-05,8217367
2023-01-06,8217367
2023-01-09,8217367
2023-01-10,8427412
2023-01-11,8320762
2023-01-12,8565185
2023-01-13,8565185
2023-01-16,8565185
2023-01-17,8414372
2023-01-18,8372840
2023-01-19,8270390
2023-01-20,8270390
2023-01-23,8270390
2023-01-24,8041650
2023-01-25,7977950
2023-01-26,7863247
2023-01-27,7863247
2023-01-30,7863247
2023-01-31,8023525
2023-02-01,8021950
2023-02-02,8294973
2023-02-03,8294973
2023-02-06,8294973
2023-02-07,8411703
2023-02-08,8422955
2023-02-09,8586377
2023-02-10,8586377
2023-02-13,8586377
2023-02-14,8707269
2023-02-15,8687969
2023-02-16,8745615
2023-02-17,8745615
2023-02-22,8842679
2023-02-23,8723255
2023-02-24,8723255
2023-02-27,8723255
2023-02-28,8662699
2023-03-01,8674249
2023-03-02,8755237
2023-03-03,8755237
2023-03-06,8755237
2023-03-07,8668355
2023-03-08,8657005
2023-03-09,8572192
2023-03-10,8572192
2023-03-13,8572192
2023-03-14,8916635
2023-03-15,8833430
2023-03-16,8719728
2023-03-17,8719728
2023-03-20,8719728
2023-03-21,9284791
2023-03-22,9219026
2023-03-23,9427524
2023-03-27,9427524
2023-03-28,9364866
2023-03-29,9275446
2023-03-30,9282190
2023-03-31,9282190
2023-04-03,9282190
2023-04-04,9400828
2023-04-05,9436988
2023-04-10,9436988
2023-04-11,9542377
2023-04-12,9517252
2023-04-13,9817911
2023-04-14,9817911
2023-04-17,9817911
2023-04-18,9571489
2023-04-19,9558604
2023-04-20,9599574
2023-04-21,9599574
2023-04-24,9599574
2023-04-25,9812755
2023-04-26,9777080
2023-04-27,9769534
2023-04-28,9769534
2023-05-02,10113334
2023-05-03,10090109
2023-05-04,10218565
2023-05-05,10218565
2023-05-08,10218565
2023-05-09,10452547
2023-05-10,10432972
2023-05-11,10967430
2023-05-12,10967430
2023-05-15,10967430
2023-05-16,11139665
2023-05-17,11122790
2023-05-18,11104830
2023-05-19,11104830
2023-05-22,11104830
2023-05-23,11067127
